task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
100	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:SAMTOOLS_SORT (SPT5_T0_REP1)	3.46 mWh	1.66 mg	-	480 gCO₂e/kWh	139.3 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.45 mWh	620.83 uWh
79	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAMTOOLS_FILTER (SPT5_INPUT_REP2)	7.1 mWh	3.41 mg	-	480 gCO₂e/kWh	144.5 %	6 GB	2s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	3.01 mWh	1.24 mWh
104	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_REMOVE_ORPHANS (SPT5_T0_REP2)	3.16 mWh	1.52 mg	-	480 gCO₂e/kWh	122.1 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.27 mWh	620.83 uWh
106	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_REMOVE_ORPHANS (SPT5_INPUT_REP1)	3.39 mWh	1.63 mg	-	480 gCO₂e/kWh	135.1 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.41 mWh	620.83 uWh
103	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SPT5_T15_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	184.4 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
105	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_REMOVE_ORPHANS (SPT5_T15_REP1)	3.17 mWh	1.52 mg	-	480 gCO₂e/kWh	122.6 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.28 mWh	620.83 uWh
107	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_REMOVE_ORPHANS (SPT5_T0_REP1)	3.12 mWh	1.5 mg	-	480 gCO₂e/kWh	119.9 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.25 mWh	620.83 uWh
108	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:SAMTOOLS_SORT (SPT5_INPUT_REP2)	4.4 mWh	2.11 mg	-	480 gCO₂e/kWh	193.2 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	2.01 mWh	620.83 uWh
109	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SPT5_T0_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	163 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
110	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SPT5_INPUT_REP1)	0 Wh	0 g	-	480 gCO₂e/kWh	179.3 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
111	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SPT5_T15_REP2)	0 Wh	0 g	-	480 gCO₂e/kWh	90 %	6 GB	0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	0 Wh	0 Wh
112	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:PHANTOMPEAKQUALTOOLS (SPT5_T15_REP2)	11.64 mWh	5.59 mg	-	480 gCO₂e/kWh	120.3 %	6 GB	3s 720ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	4.66 mWh	2.31 mWh
114	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SPT5_T15_REP1)	3.9 mWh	1.87 mg	-	480 gCO₂e/kWh	164.4 %	6 GB	1s 0ms	2	3.75 W	AMD EPYC 7282 16-Core Processor	1.71 mWh	620.83 uWh
